source,total_articles,articles_not_in_cluster,articles_in_next_day_cluster,percent_of_articles_not_in_cluster,percent_of_articles_in_next_day_cluster
2014-01-01,3079,808,147,0.26,0.18
2014-01-02,4017,1103,178,0.27,0.16
2014-01-03,4394,1247,196,0.28,0.16
2014-01-04,4077,1171,296,0.29,0.25
2014-01-05,4626,1423,221,0.31,0.16
2014-01-06,4565,1254,192,0.27,0.15
2014-01-07,4877,1239,190,0.25,0.15
2014-01-08,4833,1320,201,0.27,0.15
2014-01-09,4773,1289,184,0.27,0.14
2014-01-10,4992,1472,214,0.29,0.15
2014-01-11,4262,1243,288,0.29,0.23
2014-01-12,4536,1595,214,0.35,0.13
2014-01-13,4821,1269,177,0.26,0.14
2014-01-14,5008,1300,176,0.26,0.14
2014-01-15,5039,1359,196,0.27,0.14
2014-01-16,4997,1398,203,0.28,0.15
2014-01-17,5186,1522,201,0.29,0.13
2014-01-18,4438,1361,271,0.31,0.2
2014-01-19,4927,1439,188,0.29,0.13
2014-01-20,4731,1258,171,0.27,0.14
2014-01-21,4971,1295,192,0.26,0.15
2014-01-22,5052,1416,238,0.28,0.17
2014-01-23,5137,1442,218,0.28,0.15
2014-01-24,5178,1579,207,0.3,0.13
2014-01-25,4094,1431,271,0.35,0.19
2014-01-26,4870,1380,183,0.28,0.13
2014-01-27,4905,1177,155,0.24,0.13
2014-01-28,5044,1222,156,0.24,0.13
2014-01-29,5487,1257,185,0.23,0.15
2014-01-30,5014,1403,199,0.28,0.14
