source,total_articles,articles_not_in_cluster,articles_in_next_day_cluster,percent_of_articles_not_in_cluster,percent_of_articles_in_next_day_cluster
2014-01-01,3079,1233,168,0.4,0.14
2014-01-02,4017,1602,196,0.4,0.12
2014-01-03,4394,1804,203,0.41,0.11
2014-01-04,4077,1751,302,0.43,0.17
2014-01-05,4626,2093,229,0.45,0.11
2014-01-06,4565,1870,201,0.41,0.11
2014-01-07,4877,1882,200,0.39,0.11
2014-01-08,4833,1944,198,0.4,0.1
2014-01-09,4773,1949,212,0.41,0.11
2014-01-10,4992,2178,230,0.44,0.11
2014-01-11,4262,1855,299,0.44,0.16
2014-01-12,4536,2277,229,0.5,0.1
2014-01-13,4821,1893,206,0.39,0.11
2014-01-14,5008,1893,185,0.38,0.1
2014-01-15,5039,2015,191,0.4,0.09
2014-01-16,4997,2071,193,0.41,0.09
2014-01-17,5186,2219,218,0.43,0.1
2014-01-18,4438,2021,306,0.46,0.15
2014-01-19,4927,2095,201,0.43,0.1
2014-01-20,4731,1900,178,0.4,0.09
2014-01-21,4971,1901,186,0.38,0.1
2014-01-22,5052,2100,230,0.42,0.11
2014-01-23,5137,2086,243,0.41,0.12
2014-01-24,5178,2267,197,0.44,0.09
2014-01-25,4094,2044,289,0.5,0.14
2014-01-26,4870,2040,207,0.42,0.1
2014-01-27,4905,1866,201,0.38,0.11
2014-01-28,5044,1801,153,0.36,0.08
2014-01-29,5487,1879,188,0.34,0.1
2014-01-30,5014,2089,208,0.42,0.1
