date,total_articles,articles_not_in_cluster,articles_in_next_day_cluster,percent of articles not in cluster,percent of articles next day cluster,articles_in_next_day_cluster (diff news source),percent of articles in next_day_cluster(diff news source)
2014-01-01,3079,808,211,0.26,0.26,147,0.18
2014-01-02,4017,1103,260,0.27,0.24,178,0.16
2014-01-03,4394,1247,241,0.28,0.19,196,0.16
2014-01-04,4077,1171,332,0.29,0.28,296,0.25
2014-01-05,4626,1423,267,0.31,0.19,221,0.16
2014-01-06,4565,1254,274,0.27,0.22,192,0.15
2014-01-07,4877,1239,292,0.25,0.24,190,0.15
2014-01-08,4833,1320,288,0.27,0.22,201,0.15
2014-01-09,4773,1289,265,0.27,0.21,184,0.14
2014-01-10,4992,1472,270,0.29,0.18,214,0.15
2014-01-11,4262,1243,308,0.29,0.25,288,0.23
2014-01-12,4536,1595,263,0.35,0.16,214,0.13
2014-01-13,4821,1269,267,0.26,0.21,177,0.14
2014-01-14,5008,1300,269,0.26,0.21,176,0.14
2014-01-15,5039,1359,299,0.27,0.22,196,0.14
2014-01-16,4997,1398,304,0.28,0.22,203,0.15
2014-01-17,5186,1522,254,0.29,0.17,201,0.13
2014-01-18,4438,1361,314,0.31,0.23,271,0.2
2014-01-19,4927,1439,237,0.29,0.16,188,0.13
2014-01-20,4731,1258,245,0.27,0.19,171,0.14
2014-01-21,4971,1295,287,0.26,0.22,192,0.15
2014-01-22,5052,1416,326,0.28,0.23,238,0.17
2014-01-23,5137,1442,310,0.28,0.21,218,0.15
2014-01-24,5178,1579,266,0.3,0.17,207,0.13
2014-01-25,4094,1431,304,0.35,0.21,271,0.19
2014-01-26,4870,1380,229,0.28,0.17,183,0.13
2014-01-27,4905,1177,227,0.24,0.19,155,0.13
2014-01-28,5044,1222,250,0.24,0.2,156,0.13
2014-01-29,5487,1257,267,0.23,0.21,185,0.15
2014-01-30,5014,1403,289,0.28,0.21,199,0.14
